statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
ME183059,2026-08-08T11:17:46+09:00,복현2동주민센터,대구광역시 북구 복현로8길 16-5,35.895183356,128.62554729,True,1,1,1,0,1.0,0.0,True,5.65,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,2,140.4,,,,,154-1-000136,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183060,2026-08-08T11:17:46+09:00,대구환경공단 신천사업소,"대구광역시 북구 서변동 1290-4, 입구 좌측 주차구역",35.910053,128.5980954,True,1,1,1,0,1.0,0.0,True,5.566666666666666,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,585.6,,,,,154-1-000219,False,,,,False,team5_pis,,1540062600,126.7,55.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183061,2026-08-08T11:17:46+09:00,만촌1동주민센터,대구광역시 수성구 국채보상로 1001,35.8662711,128.6395689,True,1,1,1,0,1.0,0.0,True,3.433333333333333,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,131.4,,,,,155-1-000009,False,,,,False,team5_pis,857.0,1550051400,27.5,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME183062,2026-08-08T11:17:46+09:00,호산공영주차장,"대구광역시 달서구 호산동 714-1, 입구 우측",35.842778498,128.49013162,True,1,1,1,0,1.0,0.0,True,5.133333333333334,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,23.9,11.0,111.0,90.09,만차(점유 90%초과),156-2-000084,True,7.60504665954638,-22.0,7.0,False,team5_pis,,1560051000,176.0,36.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183063,2026-08-08T11:17:46+09:00,용산역환승주차장,"대구광역시 달서구 장기동 810-4, 입구 좌측",35.848530792,128.52951891,True,1,1,1,0,1.0,0.0,True,5.516666666666667,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,42.5,78.0,185.0,57.84,보통(점유 70%미만),156-2-000071,True,2.294625486315576,-6.0,7.0,False,team5_pis,,1560003702,106.4,38.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183064,2026-08-08T11:17:46+09:00,서촌공영주차장,"대구광역시 달서구 용산동 507, 입구 우측",35.862405614,128.52212472,True,1,1,1,0,1.0,0.0,True,1.7666666666666666,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,24.4,41.0,73.0,43.84,여유(점유 50%미만),156-2-000055,True,0.7559289460184554,2.0,7.0,False,team5_pis,268.8,,,,,,False,utic,sandbox_series,station_feature_v1
ME183065,2026-08-08T11:17:46+09:00,웃는얼굴 아트센터,"대구광역시 달서구 문화회관4길 22-7, 건너편 주차장 좌측",35.843759305,128.52223591,True,1,1,1,0,1.0,0.0,True,2.5166666666666666,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,33.3,,,,,156-2-000070,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183066,2026-08-08T11:17:46+09:00,서변2공영주차장,"대구광역시 북구 서변동 1792, 입구 좌측",35.9210768,128.5983464,True,1,1,1,0,1.0,0.0,True,3.8833333333333333,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,48.4,65.0,85.0,23.53,여유(점유 50%미만),154-2-000033,True,3.653346243584124,9.0,7.0,False,team5_pis,,1540070600,128.4,57.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183067,2026-08-08T11:17:46+09:00,팔달신시장공영주차장,"대구광역시 북구 노원로 32, 입구 좌측",35.8918583,128.5662294,True,1,1,1,0,1.0,0.0,True,3.566666666666667,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,25.3,9.0,12.0,25.0,여유(점유 50%미만),154-1-000091,True,0.3499271061118826,-1.0,7.0,False,team5_pis,,1540001300,27.0,23.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME183068,2026-08-08T11:17:46+09:00,범물공영주차장,"대구광역시 수성구 지범로 232, 지하 좌측",35.8177986,128.6426182,True,1,1,1,0,1.0,0.0,True,2.05,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,109.8,,,,,155-1-000094,False,,,,False,team5_pis,,1550057802,296.8,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME183069,2026-08-08T11:17:46+09:00,황금2동주민센터 앞 공영주차장,대구광역시 수성구 청수로31길 45,35.841675784,128.6253953,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,2,15.6,,,,,155-2-000041,False,,,,False,team5_pis,,1550028000,116.9,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183070,2026-08-08T11:17:46+09:00,블루핸즈 현풍현대서비스,대구광역시 달성군 현풍면 국가산단북로 360,35.6654537,128.4301409,True,1,0,1,0,0.0,0.0,False,1.7333333333333334,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183071,2026-08-08T11:17:46+09:00,계명문화대학교,"대구광역시 달서구 달서대로 675, 학생전용주차장 옥상층",35.8599026,128.4911241,True,1,1,1,0,1.0,0.0,True,5.6,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,327.3,,,,,156-1-000040,False,,,,False,team5_pis,,1560091700,201.1,24.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME183072,2026-08-08T11:17:46+09:00,SW융합기술지원센터,"대구광역시 수성구 알파시티1로 170, 지하주차장 B01",35.8355921,128.6818292,True,1,1,1,0,1.0,0.0,True,1.6,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,159.9,,,,,155-1-000143,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183077,2026-08-08T11:17:46+09:00,호텔아젤리아,대구광역시 달성군 유가면 일연선사길 10,35.6927724,128.505986,True,1,1,1,0,1.0,0.0,True,6.133333333333334,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,적음,1.05,1.0434782608695652,1.0588235294117647,급속,True,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183144,2026-08-08T11:17:46+09:00,대구환경공단 달성사업소,대구광역시 달성군 현풍면 현풍서로 147,35.69241506,128.42241654,True,3,3,3,0,1.0,0.0,True,4.3,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME184067,2026-08-08T11:17:46+09:00,대구시청,대구광역시 중구 국채보상로131길 17,35.8706135,128.6016338,True,1,1,1,0,1.0,0.0,True,1.65,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,2,39.8,10.0,146.0,93.15,만차(점유 90%초과),150-2-000030,True,21.67195121321001,-62.0,7.0,False,team5_pis,713.8,1500016100,103.9,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME184068,2026-08-08T11:17:46+09:00,두류공원관리소,대구광역시 달서구 공원순환로 216,35.844707,128.561796,True,1,1,1,0,1.0,0.0,True,2.9833333333333334,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,2,477.6,,,,,153-1-000035,False,,,,False,team5_pis,,1530000503,137.4,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME184069,2026-08-08T11:17:46+09:00,북구유통단지(EXCO),대구광역시 북구 유통단지로 90,35.907199,128.613253,True,1,1,1,0,1.0,0.0,True,1.7666666666666666,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,True,True,,,,,,False,,1,216.5,43.0,52.0,17.31,여유(점유 50%미만),154-2-000055,True,0.3499271061118825,0.0,7.0,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME184070,2026-08-08T11:17:46+09:00,시지근린공원 공영주차장,대구광역시 수성구 달구벌대로637길 5,35.841515,128.706201,True,1,1,1,0,1.0,0.0,True,5.5,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,6.1,5.0,138.0,96.38,만차(점유 90%초과),155-2-000059,True,9.559694299612351,-26.0,7.0,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
